date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:25	6056/6056	---M--	200	added ('OK')	text/html	etag:%224c84b-17a8-6f938640%22	http://www.comp.leeds.ac.uk/nora/html/2-17.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-17.html	(from )
20:04:25	5400/5400	---M--	200	added ('OK')	text/html	etag:%224c861-1518-6f938640%22	http://www.comp.leeds.ac.uk/nora/html/2-18.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-18.html	(from )
20:04:25	7178/7178	---M--	200	added ('OK')	text/html	etag:%224c877-1c0a-6f938640%22	http://www.comp.leeds.ac.uk/nora/html/2-19.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-19.html	(from )
20:04:25	7335/7335	---M--	200	added ('OK')	text/html	etag:%224c88e-1ca7-6f938640%22	http://www.comp.leeds.ac.uk/nora/html/2-20.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-20.html	(from )
20:04:25	5863/5863	---M--	200	added ('OK')	text/html	etag:%224c899-16e7-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-21.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-21.html	(from )
20:04:26	6783/6783	---M--	200	added ('OK')	text/html	etag:%224c8af-1a7f-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-22.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-22.html	(from )
20:04:26	6493/6493	---M--	200	added ('OK')	text/html	etag:%224c8c5-195d-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-23.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-23.html	(from )
20:04:26	6782/6782	---M--	200	added ('OK')	text/html	etag:%224c8db-1a7e-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-24.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-24.html	(from )
20:04:27	8945/8945	---M--	200	added ('OK')	text/html	etag:%224c8f1-22f1-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-25.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-25.html	(from )
20:04:27	8954/8954	---M--	200	added ('OK')	text/html	etag:%224c907-22fa-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-26.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-26.html	(from )
20:04:27	7426/7426	---M--	200	added ('OK')	text/html	etag:%224c91d-1d02-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-27.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-27.html	(from )
20:04:27	7713/7713	---M--	200	added ('OK')	text/html	etag:%224c932-1e21-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-28.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-28.html	(from )
20:04:28	7541/7541	---M--	200	added ('OK')	text/html	etag:%224c93b-1d75-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-29.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-29.html	(from )
20:04:28	8471/8471	---M--	200	added ('OK')	text/html	etag:%224c93d-2117-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-30.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-30.html	(from )
20:04:28	6000/6000	---M--	200	added ('OK')	text/html	etag:%224c93e-1770-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-31.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-31.html	(from )
20:04:29	6054/6054	---M--	200	added ('OK')	text/html	etag:%224c95e-17a6-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-32.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-32.html	(from )
20:04:29	6863/6863	---M--	200	added ('OK')	text/html	etag:%224c96a-1acf-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-33.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-33.html	(from )
20:04:29	6151/6151	---M--	200	added ('OK')	text/html	etag:%224c976-1807-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-34.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-34.html	(from )
20:04:29	5871/5871	---M--	200	added ('OK')	text/html	etag:%224c982-16ef-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-35.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-35.html	(from )
20:04:30	6856/6856	---M--	200	added ('OK')	text/html	etag:%224c9e3-1ac8-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-36.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-36.html	(from )
